PVsyst simulations Batch mode,,,,,
Simulation parameters definition,,,,,
File created on 08/09/25 15:02,,,,,
,,,,,
Project,,,25_08_25_Bowen Solar Farm 2021.PRJ,,
Variants based on,,VC3,25_09_07_Match_measured_2_1,,
,,,,,
Please define the parameters to be varied for each run,,,,,
Do not modify the column titles!,,,,,
"Only the lines beginning by ""SIM_"" will be executed",,,,,
,,,,,
Ident,Save VCi,Create hourly,Thermal,Thermal,Simul
,,file,Uc fact,Uw fact,Comment
,Y/N,File name,[W/m2K],[W/m2K],
,,,,,
SIM_49,Y,Bomen solar farm 2021 12 0.6 Hay model.csv,12,0.6,24_10_08_Match_measured_inv_2_49
SIM_50,Y,Bomen solar farm 2021 12 0.7 Hay model.csv,12,0.7,24_10_08_Match_measured_inv_2_50
SIM_51,Y,Bomen solar farm 2021 12 0.8 Hay model.csv,12,0.8,24_10_08_Match_measured_inv_2_51
SIM_52,Y,Bomen solar farm 2021 12 0.9 Hay model.csv,12,0.9,24_10_08_Match_measured_inv_2_52
SIM_53,Y,Bomen solar farm 2021 12 1.0 Hay model.csv,12,1,24_10_08_Match_measured_inv_2_53
SIM_54,Y,Bomen solar farm 2021 12 1.1 Hay model.csv,12,1.1,24_10_08_Match_measured_inv_2_54
SIM_55,Y,Bomen solar farm 2021 12 1.2 Hay model.csv,12,1.2,24_10_08_Match_measured_inv_2_55
SIM_56,Y,Bomen solar farm 2021 12 1.3 Hay model.csv,12,1.3,24_10_08_Match_measured_inv_2_56
SIM_57,Y,Bomen solar farm 2021 12 1.4 Hay model.csv,12,1.4,24_10_08_Match_measured_inv_2_57
SIM_58,Y,Bomen solar farm 2021 12 1.5 Hay model.csv,12,1.5,24_10_08_Match_measured_inv_2_58
SIM_59,Y,Bomen solar farm 2021 12 1.6 Hay model.csv,12,1.6,24_10_08_Match_measured_inv_2_59
SIM_60,Y,Bomen solar farm 2021 12 1.7 Hay model.csv,12,1.7,24_10_08_Match_measured_inv_2_60
SIM_61,Y,Bomen solar farm 2021 12 1.8 Hay model.csv,12,1.8,24_10_08_Match_measured_inv_2_61
SIM_62,Y,Bomen solar farm 2021 12 1.9 Hay model.csv,12,1.9,24_10_08_Match_measured_inv_2_62
SIM_63,Y,Bomen solar farm 2021 12 2.0 Hay model.csv,12,2,24_10_08_Match_measured_inv_2_63
SIM_64,Y,Bomen solar farm 2021 13 0.0 Hay model.csv,13,0,24_10_08_Match_measured_inv_2_64
SIM_65,Y,Bomen solar farm 2021 13 0.1 Hay model.csv,13,0.1,24_10_08_Match_measured_inv_2_65
SIM_66,Y,Bomen solar farm 2021 13 0.2 Hay model.csv,13,0.2,24_10_08_Match_measured_inv_2_66
SIM_67,Y,Bomen solar farm 2021 13 0.3 Hay model.csv,13,0.3,24_10_08_Match_measured_inv_2_67
SIM_68,Y,Bomen solar farm 2021 13 0.4 Hay model.csv,13,0.4,24_10_08_Match_measured_inv_2_68
SIM_69,Y,Bomen solar farm 2021 13 0.5 Hay model.csv,13,0.5,24_10_08_Match_measured_inv_2_69
SIM_70,Y,Bomen solar farm 2021 13 0.6 Hay model.csv,13,0.6,24_10_08_Match_measured_inv_2_70
SIM_71,Y,Bomen solar farm 2021 13 0.7 Hay model.csv,13,0.7,24_10_08_Match_measured_inv_2_71
SIM_72,Y,Bomen solar farm 2021 13 0.8 Hay model.csv,13,0.8,24_10_08_Match_measured_inv_2_72
SIM_73,Y,Bomen solar farm 2021 13 0.9 Hay model.csv,13,0.9,24_10_08_Match_measured_inv_2_73
SIM_74,Y,Bomen solar farm 2021 13 1.0 Hay model.csv,13,1,24_10_08_Match_measured_inv_2_74
SIM_75,Y,Bomen solar farm 2021 13 1.1 Hay model.csv,13,1.1,24_10_08_Match_measured_inv_2_75
SIM_76,Y,Bomen solar farm 2021 13 1.2 Hay model.csv,13,1.2,24_10_08_Match_measured_inv_2_76
SIM_77,Y,Bomen solar farm 2021 13 1.3 Hay model.csv,13,1.3,24_10_08_Match_measured_inv_2_77
SIM_78,Y,Bomen solar farm 2021 13 1.4 Hay model.csv,13,1.4,24_10_08_Match_measured_inv_2_78
SIM_79,Y,Bomen solar farm 2021 13 1.5 Hay model.csv,13,1.5,24_10_08_Match_measured_inv_2_79
SIM_80,Y,Bomen solar farm 2021 13 1.6 Hay model.csv,13,1.6,24_10_08_Match_measured_inv_2_80
SIM_81,Y,Bomen solar farm 2021 13 1.7 Hay model.csv,13,1.7,24_10_08_Match_measured_inv_2_81
SIM_82,Y,Bomen solar farm 2021 13 1.8 Hay model.csv,13,1.8,24_10_08_Match_measured_inv_2_82
SIM_83,Y,Bomen solar farm 2021 13 1.9 Hay model.csv,13,1.9,24_10_08_Match_measured_inv_2_83
SIM_84,Y,Bomen solar farm 2021 13 2.0 Hay model.csv,13,2,24_10_08_Match_measured_inv_2_84
SIM_85,Y,Bomen solar farm 2021 14 0.0 Hay model.csv,14,0,24_10_08_Match_measured_inv_2_85
SIM_86,Y,Bomen solar farm 2021 14 0.1 Hay model.csv,14,0.1,24_10_08_Match_measured_inv_2_86
SIM_87,Y,Bomen solar farm 2021 14 0.2 Hay model.csv,14,0.2,24_10_08_Match_measured_inv_2_87
SIM_88,Y,Bomen solar farm 2021 14 0.3 Hay model.csv,14,0.3,24_10_08_Match_measured_inv_2_88
SIM_89,Y,Bomen solar farm 2021 14 0.4 Hay model.csv,14,0.4,24_10_08_Match_measured_inv_2_89
SIM_90,Y,Bomen solar farm 2021 14 0.5 Hay model.csv,14,0.5,24_10_08_Match_measured_inv_2_90
SIM_91,Y,Bomen solar farm 2021 14 0.6 Hay model.csv,14,0.6,24_10_08_Match_measured_inv_2_91
SIM_92,Y,Bomen solar farm 2021 14 0.7 Hay model.csv,14,0.7,24_10_08_Match_measured_inv_2_92
SIM_93,Y,Bomen solar farm 2021 14 0.8 Hay model.csv,14,0.8,24_10_08_Match_measured_inv_2_93
SIM_94,Y,Bomen solar farm 2021 14 0.9 Hay model.csv,14,0.9,24_10_08_Match_measured_inv_2_94
SIM_95,Y,Bomen solar farm 2021 14 1.0 Hay model.csv,14,1,24_10_08_Match_measured_inv_2_95
SIM_96,Y,Bomen solar farm 2021 14 1.1 Hay model.csv,14,1.1,24_10_08_Match_measured_inv_2_96
SIM_97,Y,Bomen solar farm 2021 14 1.2 Hay model.csv,14,1.2,24_10_08_Match_measured_inv_2_97
SIM_98,Y,Bomen solar farm 2021 14 1.3 Hay model.csv,14,1.3,24_10_08_Match_measured_inv_2_98
SIM_99,Y,Bomen solar farm 2021 14 1.4 Hay model.csv,14,1.4,24_10_08_Match_measured_inv_2_99
SIM_100,Y,Bomen solar farm 2021 14 1.5 Hay model.csv,14,1.5,24_10_08_Match_measured_inv_2_100
SIM_101,Y,Bomen solar farm 2021 14 1.6 Hay model.csv,14,1.6,24_10_08_Match_measured_inv_2_101
SIM_102,Y,Bomen solar farm 2021 14 1.7 Hay model.csv,14,1.7,24_10_08_Match_measured_inv_2_102
