Ident,Save VCi,Create hourly,Thermal,Thermal,Simul,Error,HSol,AzSol,AngInc,AngProf,PlTilt,PlAzim,PhiAng,GlobHor,DiffHor,BeamHor,T_Amb,WindVel,PrecWat,BeamTrp,DifITrp,CircTrp,HBndTrp,AlbTrp,GlobTrp,GincThr,GlobInc,BeamInc,CircInc,DifSInc,Alb_Inc,Bm_Gl,DifA_Gl,DifS_Gl,Alb_Gl,GlobShd,ShdLoss,ShdBLss,ShdCLss,ShdDLss,ShdALss,GlobIAM,IAMLoss,IAMBLss,IAMCLss,IAMDLss,IAMALss,GlobSlg,SlgLoss,SlgBLss,SlgCLss,SlgDLss,SlgALss,GlobEff,BeamEff,CircEff,DiffEff,Alb_Eff,GlobGnd,DiffGnd,ReflLss,BkVFLss,DifSBak,BackShd,GlobBak,ReflFrt,ReflBck,BmIncBk,BmSFBak,BIAMFBk,BeamBak,FTransp,FShdGl,FShdBm,FShdCrc,FShdDif,FShdAlb,FIAMGl,FIAMBm,FIAMCrc,FIAMDif,FIAMAlb,FSlgGl,FSlgBm,FSlgCrc,FSlgDif,FSlgAlb,FIAMShd,FEffDif,FEffAlb,EArrRef,EArrNom,DegrLss,GIncLss,TempLss,SpctCor,ModQual,LIDLoss,MismBak,UnavLss,IL_Oper,IL_Pmin,IL_Vmin,IL_Pmax,IL_Vmax,IL_Imax,IL_Nigh,Aux_Lss,EUseful,TotInstCost,ModuleCost,InverterCost,OptimizerCost,BatteryCost,OwnFunds,TotLoan,AvgOpCost_yr,LCOE,NPV,IRR,PaybackPeriod,ROI
,,file,Uc fact,Uw fact,Comment,,�,�,�,�,�,�,�,kWh/m�,kWh/m�,kWh/m�,캜,m/s,m,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,ratio,ratio,ratio,ratio,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,kWh/m�,ratio,ratio,kWh/m�,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
,Y/N,File name,[W/m2K],[W/m2K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIM_8,Y,Bomen solar farm 2021 10 0.7 Hay model.csv,10,0.7,24_10_08_Match_measured_inv_2_8,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.216,,0.032,0.113,0.018,0.164,0.074,0,0,0,0,0,0.002,0.758,3.266,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_9,Y,Bomen solar farm 2021 10 0.8 Hay model.csv,10,0.8,24_10_08_Match_measured_inv_2_9,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.212,,0.032,0.113,0.018,0.164,0.074,0,0,0,0,0,0.002,0.758,3.268,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_10,Y,Bomen solar farm 2021 10 0.9 Hay model.csv,10,0.9,24_10_08_Match_measured_inv_2_10,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.209,,0.032,0.113,0.018,0.164,0.074,0,0,0,0,0,0.002,0.758,3.273,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_11,Y,Bomen solar farm 2021 10 1.0 Hay model.csv,10,1,24_10_08_Match_measured_inv_2_11,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.206,,0.032,0.113,0.018,0.164,0.074,0,0,0,0,0,0.002,0.758,3.275,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_12,Y,Bomen solar farm 2021 10 1.1 Hay model.csv,10,1.1,24_10_08_Match_measured_inv_2_12,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.202,,0.032,0.113,0.018,0.164,0.074,0,0,0,0,0,0.002,0.758,3.278,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_13,Y,Bomen solar farm 2021 10 1.2 Hay model.csv,10,1.2,24_10_08_Match_measured_inv_2_13,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.199,,0.032,0.113,0.018,0.164,0.074,0,0,0,0,0,0.002,0.758,3.281,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_14,Y,Bomen solar farm 2021 10 1.3 Hay model.csv,10,1.3,24_10_08_Match_measured_inv_2_14,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.196,,0.032,0.113,0.018,0.164,0.075,0,0,0,0,0,0.002,0.758,3.284,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_15,Y,Bomen solar farm 2021 10 1.4 Hay model.csv,10,1.4,24_10_08_Match_measured_inv_2_15,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.193,,0.032,0.113,0.018,0.164,0.075,0,0,0,0,0,0.002,0.758,3.286,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_16,Y,Bomen solar farm 2021 10 1.5 Hay model.csv,10,1.5,24_10_08_Match_measured_inv_2_16,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.19,,0.032,0.113,0.018,0.165,0.075,0,0,0,0,0,0.002,0.758,3.289,0,0,0,0,0,0,0,0,0,0,0,0,0
SIM_17,Y,Bomen solar farm 2021 10 1.6 Hay model.csv,10,1.6,24_10_08_Match_measured_inv_2_17,Warning: The number of rows defined in the bifacial model (3972) differs from the PVsyst estimate (72).,143617,-54.88,554180,180320,131998,358470,78.07,1628,546,1082,13.43,3.71,0,1467,341.5,235.9,0,26.61,2071,0.35,2071,1467,235.9,341.1,26.61,0.7085,0.1777,0,0.0128,2030,40.44,0,0,16.45,24,2002,23.56,10.01,1.674,11.6,0.271,2025,5.307,3.865,0.622,0.813,0.007,2008,1453,233.6,312.3,2.334,785.5,232.1,639,237.7,12.65,8.582,123.5,6.231,119.4,0,0.4559,0,0,1.272,0.9805,1,1,0.9518,0.0982,0.9884,0.9932,1,0.9642,0.8961,0.9974,0.9974,1,0.9974,0.9974,0.9665,0.9154,0.0878,4.733,4.812,0.029,0.023,0.187,,0.032,0.113,0.018,0.165,0.075,0,0,0,0,0,0.002,0.758,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0
