Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
131,17,0,1,Night,Sun above horizon but GHI below 1,88.60342407226562,1.396576166152954,292.9201354980469,0,0,0,0,13.179986953735352,1.6200000047683716,=NA(),0,23.167970657348633,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,9.800012588500977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,18,0,1,Night,,104.92802429199219,-14.928025245666504,281.75640869140625,0,0,0,0,12.800012588500977,1.5801000595092773,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,9.399988174438477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,19,0,1,Night,,117.06423950195312,-27.064241409301758,273.75537109375,0,0,0,0,12.309991836547852,1.409999966621399,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,8.899988174438477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,20,0,1,Night,,129.3253936767578,-39.32539749145508,265.0342712402344,0,0,0,0,11.800012588500977,1.2300000190734863,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,8.369989395141602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,21,0,1,Night,,141.39425659179688,-51.394256591796875,254.1481475830078,0,0,0,0,11.420007705688477,1.1999000310897827,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,7.980004787445068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,22,0,1,Night,,152.63331604003906,-62.63331985473633,237.78675842285156,0,0,0,0,10.300012588500977,1.3401000499725342,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,6.830010890960693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,23,0,1,Night,,161.14247131347656,-71.14246368408203,207.8803253173828,0,0,0,0,10.499994277954102,1.5999000072479248,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,7.029992580413818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,1,Night,,162.2174835205078,-72.21748352050781,161.5000762939453,0,0,0,0,9.799890518188477,1.7000000476837158,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,6.309991359710693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,1,0,1,Night,,154.87530517578125,-64.87530517578125,127.17223358154297,0,0,0,0,9.159814834594727,1.750100016593933,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,5.649987697601318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2,0,1,Night,,144.00079345703125,-54.00078582763672,108.72675323486328,0,0,0,0,9.260095596313477,1.8700000047683716,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,5.760003566741943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,3,0,1,Night,,132.0465850830078,-42.04658508300781,97.01821899414062,0,0,0,0,9.409692764282227,1.9600000381469727,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,5.909997463226318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,4,0,1,Night,,119.80586242675781,-29.805864334106445,87.97186279296875,0,0,0,0,8.179895401000977,2.0299999713897705,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,4.649987697601318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,5,0,1,Night,,107.63330078125,-17.63330078125,79.88609313964844,0,0,0,0,7.029809474945068,2.0999999046325684,=NA(),0,64.81599426269531,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,3.4699950218200684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,6,0,1,Night,Sun below height limit of 1 degrees.,89.72694396972656,0.2730591893196106,67.88447570800781,0,0,0,0,7.009912014007568,1.9198999404907227,=NA(),0,34.12874221801758,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,0,0,0,0,0,3.4500060081481934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,7,0,1,Day,,84.20220184326172,5.797797203063965,63.19497299194336,55.106998443603516,53.995296478271484,11.005000114440918,0.9798265099525452,7.450006008148193,2.180000066757202,=NA(),0.9692127108573914,9.106986999511719,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,9.460467338562012,75.78276824951172,73.05000305175781,68.3699951171875,4.680000305175781,6.242516994476318,358.92999267578125,383.0400085449219,383.42236328125,40.38349151611328,0.5934076309204102,0.5905478000640869,45.84792709350586,0.6299803256988525,0.002126875100657344,0,0.0001082500020856969,0,-24.110015869140625,-0.382354736328125
132,8,0,1,Day,,73.85665130615234,16.143348693847656,53.295379638671875,150.80999755859375,143.49501037597656,26.30900001525879,0.951495349407196,9.760004043579102,1.7999999523162842,=NA(),0.9593278169631958,3.557018756866455,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20,1013.25,35.79889678955078,47.469322204589844,204.4199981689453,186.85000610351562,17.56999969482422,12.883752822875977,1163.0999755859375,1208.739990234375,1209.1123046875,41.0182991027832,1.8422478437423706,1.7889316082000732,46.82878112792969,1.9409782886505127,0.006426562555134296,0,0.0004479374911170453,0,-45.6400146484375,-0.372314453125
