Timestamp,PVsyst,Measured,Residual,Season
2021-01-01,762.8873242924004,710.4844999999999,52.40282429240051,Summer
2021-01-02,791.2029490335929,737.9594166666666,53.243532366926274,Summer
2021-01-04,538.2661907525164,500.6789166666666,37.5872740858498,Summer
2021-01-08,1106.2838131613119,1147.7475,-41.46368683868809,Summer
2021-01-09,1102.8297636955429,1142.9524999999999,-40.12273630445702,Summer
2021-01-10,1052.505557808468,1085.36175,-32.856192191532045,Summer
2021-01-31,1057.720593961081,1036.0629999999999,21.657593961081147,Summer
2021-02-01,464.11997787583243,480.8424166666666,-16.72243879083419,Summer
2021-02-07,1012.2913743723834,1019.0533333333333,-6.761958960949869,Summer
2021-02-10,1031.1191216597342,1045.0375833333333,-13.91846167359904,Summer
2021-02-11,1002.403838344255,988.6044999999999,13.799338344255034,Summer
2021-02-12,209.8472560743866,223.42591666666667,-13.578660592280073,Summer
2021-02-20,973.5560321594795,934.0051666666666,39.55086549281293,Summer
2021-02-21,799.0317731617051,771.0535833333333,27.978189828371796,Summer
2021-02-22,989.4250520172702,972.5169166666666,16.90813535060363,Summer
2021-02-25,689.7055359096929,658.9389166666666,30.766619243026298,Summer
2021-02-26,975.7791864155902,986.6606666666667,-10.881480251076482,Summer
2021-03-01,970.8501906640175,970.9886666666666,-0.13847600264909943,Autumn
2021-03-04,962.9710173454198,966.0449166666666,-3.073899321246813,Autumn
2021-03-05,967.1649149159061,969.8048333333332,-2.6399184174271113,Autumn
2021-03-06,958.5407635750701,955.1589166666666,3.3818469084034177,Autumn
2021-03-07,827.8522197863679,815.1312499999999,12.72096978636796,Autumn
2021-03-10,846.5381343541062,846.1468333333333,0.39130102077285756,Autumn
2021-03-11,221.81582864359524,248.9488333333333,-27.133004689738073,Autumn
2021-03-12,750.3894202337871,733.3726666666666,17.016753567120418,Autumn
2021-03-13,638.1950840950881,636.6260833333333,1.5690007617547508,Autumn
2021-03-15,920.5983736130746,911.7259166666666,8.872456946407965,Autumn
2021-03-16,897.6569074661236,900.0104166666666,-2.3535092005430442,Autumn
2021-03-17,343.17628240939246,354.82191666666665,-11.645634257274196,Autumn
2021-03-18,277.44911917117093,285.6333333333333,-8.184214162162391,Autumn
2021-03-19,686.93861039634,669.1124166666666,17.826193729673378,Autumn
2021-03-20,250.32344529794034,262.1645,-11.841054702059637,Autumn
2021-03-22,96.69087040352663,119.70133333333332,-23.010462929806693,Autumn
2021-03-23,135.99724843531274,135.61974999999998,0.3774984353127593,Autumn
2021-03-24,242.92467925535124,249.82874999999999,-6.904070744648749,Autumn
2021-03-26,591.8173997558131,613.0611666666666,-21.243766910853537,Autumn
2021-03-28,683.6324735524307,672.492,11.140473552430763,Autumn
2021-03-30,757.5812796030232,758.53175,-0.9504703969768116,Autumn
2021-04-07,651.4083266524843,665.2212499999999,-13.812923347515607,Autumn
2021-04-08,686.4057639634486,680.3399166666667,6.0658472967819534,Autumn
2021-04-09,563.1833401344189,558.0108333333333,5.17250680108566,Autumn
2021-04-10,266.2180197448641,260.3471666666667,5.870853078197399,Autumn
2021-04-11,621.4619581304015,614.15775,7.304208130401548,Autumn
