PVsyst simulations Batch mode,,,,,
Simulation parameters definition,,,,,
File created on 09/09/25 14:35,,,,,
,,,,,
Project,,,25_08_25_Bowen Solar Farm 2021.PRJ,,
Variants based on,,VC3,24_10_08_Match_measured inv 1-1,,
,,,,,
Please define the parameters to be varied for each run,,,,,
Do not modify the column titles!,,,,,
"Only the lines beginning by ""SIM_"" will be executed",,,,,
,,,,,
Ident,Save VCi,Create hourly,Thermal,Thermal,Simul
,,file,Uc fact,Uw fact,Comment
,Y/N,File name,[W/m2K],[W/m2K],
,,,,,
SIM_43,Y,Bomen solar farm 2021 12 0.0 Perez model.csv,12,0,24_10_08_Match_measured_inv_2_1Uc12Uv0
SIM_44,Y,Bomen solar farm 2021 12 0.1 Perez model.csv,12,0.1,24_10_08_Match_measured_inv_2_1Uc12Uv0.1
SIM_45,Y,Bomen solar farm 2021 12 0.2 Perez model.csv,12,0.2,24_10_08_Match_measured_inv_2_1Uc12Uv0.2
SIM_46,Y,Bomen solar farm 2021 12 0.3 Perez model.csv,12,0.3,24_10_08_Match_measured_inv_2_1Uc12Uv0.3
SIM_47,Y,Bomen solar farm 2021 12 0.4 Perez model.csv,12,0.4,24_10_08_Match_measured_inv_2_1Uc12Uv0.4
SIM_48,Y,Bomen solar farm 2021 12 0.5 Perez model.csv,12,0.5,24_10_08_Match_measured_inv_2_1Uc12Uv0.5
SIM_49,Y,Bomen solar farm 2021 12 0.6 Perez model.csv,12,0.6,24_10_08_Match_measured_inv_2_1Uc12Uv0.6
SIM_50,Y,Bomen solar farm 2021 12 0.7 Perez model.csv,12,0.7,24_10_08_Match_measured_inv_2_1Uc12Uv0.7
SIM_51,Y,Bomen solar farm 2021 12 0.8 Perez model.csv,12,0.8,24_10_08_Match_measured_inv_2_1Uc12Uv0.8
SIM_52,Y,Bomen solar farm 2021 12 0.9 Perez model.csv,12,0.9,24_10_08_Match_measured_inv_2_1Uc12Uv0.9
SIM_53,Y,Bomen solar farm 2021 12 1.0 Perez model.csv,12,1,24_10_08_Match_measured_inv_2_1Uc12Uv1
SIM_54,Y,Bomen solar farm 2021 12 1.1 Perez model.csv,12,1.1,24_10_08_Match_measured_inv_2_1Uc12Uv1.1
SIM_55,Y,Bomen solar farm 2021 12 1.2 Perez model.csv,12,1.2,24_10_08_Match_measured_inv_2_1Uc12Uv1.2
SIM_56,Y,Bomen solar farm 2021 12 1.3 Perez model.csv,12,1.3,24_10_08_Match_measured_inv_2_1Uc12Uv1.3
SIM_57,Y,Bomen solar farm 2021 12 1.4 Perez model.csv,12,1.4,24_10_08_Match_measured_inv_2_1Uc12Uv1.4
SIM_58,Y,Bomen solar farm 2021 12 1.5 Perez model.csv,12,1.5,24_10_08_Match_measured_inv_2_1Uc12Uv1.5
SIM_59,Y,Bomen solar farm 2021 12 1.6 Perez model.csv,12,1.6,24_10_08_Match_measured_inv_2_1Uc12Uv1.6
SIM_60,Y,Bomen solar farm 2021 12 1.7 Perez model.csv,12,1.7,24_10_08_Match_measured_inv_2_1Uc12Uv1.7
SIM_61,Y,Bomen solar farm 2021 12 1.8 Perez model.csv,12,1.8,24_10_08_Match_measured_inv_2_1Uc12Uv1.8
SIM_62,Y,Bomen solar farm 2021 12 1.9 Perez model.csv,12,1.9,24_10_08_Match_measured_inv_2_1Uc12Uv1.9
SIM_63,Y,Bomen solar farm 2021 12 2.0 Perez model.csv,12,2,24_10_08_Match_measured_inv_2_1Uc12Uv2
SIM_64,Y,Bomen solar farm 2021 13 0.0 Perez model.csv,13,0,24_10_08_Match_measured_inv_2_1Uc13Uv0
SIM_65,Y,Bomen solar farm 2021 13 0.1 Perez model.csv,13,0.1,24_10_08_Match_measured_inv_2_1Uc13Uv0.1
SIM_66,Y,Bomen solar farm 2021 13 0.2 Perez model.csv,13,0.2,24_10_08_Match_measured_inv_2_1Uc13Uv0.2
SIM_67,Y,Bomen solar farm 2021 13 0.3 Perez model.csv,13,0.3,24_10_08_Match_measured_inv_2_1Uc13Uv0.3
SIM_68,Y,Bomen solar farm 2021 13 0.4 Perez model.csv,13,0.4,24_10_08_Match_measured_inv_2_1Uc13Uv0.4
SIM_69,Y,Bomen solar farm 2021 13 0.5 Perez model.csv,13,0.5,24_10_08_Match_measured_inv_2_1Uc13Uv0.5
SIM_70,Y,Bomen solar farm 2021 13 0.6 Perez model.csv,13,0.6,24_10_08_Match_measured_inv_2_1Uc13Uv0.6
SIM_71,Y,Bomen solar farm 2021 13 0.7 Perez model.csv,13,0.7,24_10_08_Match_measured_inv_2_1Uc13Uv0.7
SIM_72,Y,Bomen solar farm 2021 13 0.8 Perez model.csv,13,0.8,24_10_08_Match_measured_inv_2_1Uc13Uv0.8
SIM_73,Y,Bomen solar farm 2021 13 0.9 Perez model.csv,13,0.9,24_10_08_Match_measured_inv_2_1Uc13Uv0.9
SIM_74,Y,Bomen solar farm 2021 13 1.0 Perez model.csv,13,1,24_10_08_Match_measured_inv_2_1Uc13Uv1
SIM_75,Y,Bomen solar farm 2021 13 1.1 Perez model.csv,13,1.1,24_10_08_Match_measured_inv_2_1Uc13Uv1.1
SIM_76,Y,Bomen solar farm 2021 13 1.2 Perez model.csv,13,1.2,24_10_08_Match_measured_inv_2_1Uc13Uv1.2
SIM_77,Y,Bomen solar farm 2021 13 1.3 Perez model.csv,13,1.3,24_10_08_Match_measured_inv_2_1Uc13Uv1.3
SIM_78,Y,Bomen solar farm 2021 13 1.4 Perez model.csv,13,1.4,24_10_08_Match_measured_inv_2_1Uc13Uv1.4
SIM_79,Y,Bomen solar farm 2021 13 1.5 Perez model.csv,13,1.5,24_10_08_Match_measured_inv_2_1Uc13Uv1.5
SIM_80,Y,Bomen solar farm 2021 13 1.6 Perez model.csv,13,1.6,24_10_08_Match_measured_inv_2_1Uc13Uv1.6
SIM_81,Y,Bomen solar farm 2021 13 1.7 Perez model.csv,13,1.7,24_10_08_Match_measured_inv_2_1Uc13Uv1.7
SIM_82,Y,Bomen solar farm 2021 13 1.8 Perez model.csv,13,1.8,24_10_08_Match_measured_inv_2_1Uc13Uv1.8
SIM_83,Y,Bomen solar farm 2021 13 1.9 Perez model.csv,13,1.9,24_10_08_Match_measured_inv_2_1Uc13Uv1.9
SIM_84,Y,Bomen solar farm 2021 13 2.0 Perez model.csv,13,2,24_10_08_Match_measured_inv_2_1Uc13Uv2
SIM_85,Y,Bomen solar farm 2021 14 0.0 Perez model.csv,14,0,24_10_08_Match_measured_inv_2_1Uc14Uv0
SIM_86,Y,Bomen solar farm 2021 14 0.1 Perez model.csv,14,0.1,24_10_08_Match_measured_inv_2_1Uc14Uv0.1
SIM_87,Y,Bomen solar farm 2021 14 0.2 Perez model.csv,14,0.2,24_10_08_Match_measured_inv_2_1Uc14Uv0.2
SIM_88,Y,Bomen solar farm 2021 14 0.3 Perez model.csv,14,0.3,24_10_08_Match_measured_inv_2_1Uc14Uv0.3
SIM_89,Y,Bomen solar farm 2021 14 0.4 Perez model.csv,14,0.4,24_10_08_Match_measured_inv_2_1Uc14Uv0.4
SIM_90,Y,Bomen solar farm 2021 14 0.5 Perez model.csv,14,0.5,24_10_08_Match_measured_inv_2_1Uc14Uv0.5
SIM_91,Y,Bomen solar farm 2021 14 0.6 Perez model.csv,14,0.6,24_10_08_Match_measured_inv_2_1Uc14Uv0.6
SIM_92,Y,Bomen solar farm 2021 14 0.7 Perez model.csv,14,0.7,24_10_08_Match_measured_inv_2_1Uc14Uv0.7
SIM_93,Y,Bomen solar farm 2021 14 0.8 Perez model.csv,14,0.8,24_10_08_Match_measured_inv_2_1Uc14Uv0.8
SIM_94,Y,Bomen solar farm 2021 14 0.9 Perez model.csv,14,0.9,24_10_08_Match_measured_inv_2_1Uc14Uv0.9
SIM_95,Y,Bomen solar farm 2021 14 1.0 Perez model.csv,14,1,24_10_08_Match_measured_inv_2_1Uc14Uv1
SIM_96,Y,Bomen solar farm 2021 14 1.1 Perez model.csv,14,1.1,24_10_08_Match_measured_inv_2_1Uc14Uv1.1
SIM_97,Y,Bomen solar farm 2021 14 1.2 Perez model.csv,14,1.2,24_10_08_Match_measured_inv_2_1Uc14Uv1.2
SIM_98,Y,Bomen solar farm 2021 14 1.3 Perez model.csv,14,1.3,24_10_08_Match_measured_inv_2_1Uc14Uv1.3
SIM_99,Y,Bomen solar farm 2021 14 1.4 Perez model.csv,14,1.4,24_10_08_Match_measured_inv_2_1Uc14Uv1.4
SIM_100,Y,Bomen solar farm 2021 14 1.5 Perez model.csv,14,1.5,24_10_08_Match_measured_inv_2_1Uc14Uv1.5
SIM_101,Y,Bomen solar farm 2021 14 1.6 Perez model.csv,14,1.6,24_10_08_Match_measured_inv_2_1Uc14Uv1.6
SIM_102,Y,Bomen solar farm 2021 14 1.7 Perez model.csv,14,1.7,24_10_08_Match_measured_inv_2_1Uc14Uv1.7
SIM_103,Y,Bomen solar farm 2021 14 1.8 Perez model.csv,14,1.8,24_10_08_Match_measured_inv_2_1Uc14Uv1.8
SIM_104,Y,Bomen solar farm 2021 14 1.9 Perez model.csv,14,1.9,24_10_08_Match_measured_inv_2_1Uc14Uv1.9
SIM_105,Y,Bomen solar farm 2021 14 2.0 Perez model.csv,14,2,24_10_08_Match_measured_inv_2_1Uc14Uv2
SIM_106,Y,Bomen solar farm 2021 15 0.0 Perez model.csv,15,0,24_10_08_Match_measured_inv_2_1Uc15Uv0
SIM_107,Y,Bomen solar farm 2021 15 0.1 Perez model.csv,15,0.1,24_10_08_Match_measured_inv_2_1Uc15Uv0.1
SIM_108,Y,Bomen solar farm 2021 15 0.2 Perez model.csv,15,0.2,24_10_08_Match_measured_inv_2_1Uc15Uv0.2
SIM_109,Y,Bomen solar farm 2021 15 0.3 Perez model.csv,15,0.3,24_10_08_Match_measured_inv_2_1Uc15Uv0.3
SIM_110,Y,Bomen solar farm 2021 15 0.4 Perez model.csv,15,0.4,24_10_08_Match_measured_inv_2_1Uc15Uv0.4
SIM_111,Y,Bomen solar farm 2021 15 0.5 Perez model.csv,15,0.5,24_10_08_Match_measured_inv_2_1Uc15Uv0.5
SIM_112,Y,Bomen solar farm 2021 15 0.6 Perez model.csv,15,0.6,24_10_08_Match_measured_inv_2_1Uc15Uv0.6
SIM_113,Y,Bomen solar farm 2021 15 0.7 Perez model.csv,15,0.7,24_10_08_Match_measured_inv_2_1Uc15Uv0.7
SIM_114,Y,Bomen solar farm 2021 15 0.8 Perez model.csv,15,0.8,24_10_08_Match_measured_inv_2_1Uc15Uv0.8
SIM_115,Y,Bomen solar farm 2021 15 0.9 Perez model.csv,15,0.9,24_10_08_Match_measured_inv_2_1Uc15Uv0.9
SIM_116,Y,Bomen solar farm 2021 15 1.0 Perez model.csv,15,1,24_10_08_Match_measured_inv_2_1Uc15Uv1
SIM_117,Y,Bomen solar farm 2021 15 1.1 Perez model.csv,15,1.1,24_10_08_Match_measured_inv_2_1Uc15Uv1.1
SIM_118,Y,Bomen solar farm 2021 15 1.2 Perez model.csv,15,1.2,24_10_08_Match_measured_inv_2_1Uc15Uv1.2
SIM_119,Y,Bomen solar farm 2021 15 1.3 Perez model.csv,15,1.3,24_10_08_Match_measured_inv_2_1Uc15Uv1.3
SIM_120,Y,Bomen solar farm 2021 15 1.4 Perez model.csv,15,1.4,24_10_08_Match_measured_inv_2_1Uc15Uv1.4
SIM_121,Y,Bomen solar farm 2021 15 1.5 Perez model.csv,15,1.5,24_10_08_Match_measured_inv_2_1Uc15Uv1.5
