PVsyst simulations Batch mode,,,,,
Simulation parameters definition,,,,,
File created on 09/09/25 14:35,,,,,
,,,,,
Project,,,25_08_25_Bowen Solar Farm 2021.PRJ,,
Variants based on,,VC3,24_10_08_Match_measured inv 1-1,,
,,,,,
Please define the parameters to be varied for each run,,,,,
Do not modify the column titles!,,,,,
"Only the lines beginning by ""SIM_"" will be executed",,,,,
,,,,,
Ident,Save VCi,Create hourly,Thermal,Thermal,Simul
,,file,Uc fact,Uw fact,Comment
,Y/N,File name,[W/m2K],[W/m2K],
,,,,,
SIM_186,Y,Bomen solar farm 2021 18 1.7 Perez model.csv,18,1.7,24_10_08_Match_measured_inv_2_1Uc18Uv1.7
SIM_187,Y,Bomen solar farm 2021 18 1.8 Perez model.csv,18,1.8,24_10_08_Match_measured_inv_2_1Uc18Uv1.8
SIM_188,Y,Bomen solar farm 2021 18 1.9 Perez model.csv,18,1.9,24_10_08_Match_measured_inv_2_1Uc18Uv1.9
SIM_189,Y,Bomen solar farm 2021 18 2.0 Perez model.csv,18,2,24_10_08_Match_measured_inv_2_1Uc18Uv2
SIM_190,Y,Bomen solar farm 2021 19 0.0 Perez model.csv,19,0,24_10_08_Match_measured_inv_2_1Uc19Uv0
SIM_191,Y,Bomen solar farm 2021 19 0.1 Perez model.csv,19,0.1,24_10_08_Match_measured_inv_2_1Uc19Uv0.1
SIM_192,Y,Bomen solar farm 2021 19 0.2 Perez model.csv,19,0.2,24_10_08_Match_measured_inv_2_1Uc19Uv0.2
SIM_193,Y,Bomen solar farm 2021 19 0.3 Perez model.csv,19,0.3,24_10_08_Match_measured_inv_2_1Uc19Uv0.3
SIM_194,Y,Bomen solar farm 2021 19 0.4 Perez model.csv,19,0.4,24_10_08_Match_measured_inv_2_1Uc19Uv0.4
SIM_195,Y,Bomen solar farm 2021 19 0.5 Perez model.csv,19,0.5,24_10_08_Match_measured_inv_2_1Uc19Uv0.5
SIM_196,Y,Bomen solar farm 2021 19 0.6 Perez model.csv,19,0.6,24_10_08_Match_measured_inv_2_1Uc19Uv0.6
SIM_197,Y,Bomen solar farm 2021 19 0.7 Perez model.csv,19,0.7,24_10_08_Match_measured_inv_2_1Uc19Uv0.7
SIM_198,Y,Bomen solar farm 2021 19 0.8 Perez model.csv,19,0.8,24_10_08_Match_measured_inv_2_1Uc19Uv0.8
SIM_199,Y,Bomen solar farm 2021 19 0.9 Perez model.csv,19,0.9,24_10_08_Match_measured_inv_2_1Uc19Uv0.9
SIM_200,Y,Bomen solar farm 2021 19 1.0 Perez model.csv,19,1,24_10_08_Match_measured_inv_2_1Uc19Uv1
SIM_201,Y,Bomen solar farm 2021 19 1.1 Perez model.csv,19,1.1,24_10_08_Match_measured_inv_2_1Uc19Uv1.1
SIM_202,Y,Bomen solar farm 2021 19 1.2 Perez model.csv,19,1.2,24_10_08_Match_measured_inv_2_1Uc19Uv1.2
SIM_203,Y,Bomen solar farm 2021 19 1.3 Perez model.csv,19,1.3,24_10_08_Match_measured_inv_2_1Uc19Uv1.3
SIM_204,Y,Bomen solar farm 2021 19 1.4 Perez model.csv,19,1.4,24_10_08_Match_measured_inv_2_1Uc19Uv1.4
SIM_205,Y,Bomen solar farm 2021 19 1.5 Perez model.csv,19,1.5,24_10_08_Match_measured_inv_2_1Uc19Uv1.5
SIM_206,Y,Bomen solar farm 2021 19 1.6 Perez model.csv,19,1.6,24_10_08_Match_measured_inv_2_1Uc19Uv1.6
SIM_207,Y,Bomen solar farm 2021 19 1.7 Perez model.csv,19,1.7,24_10_08_Match_measured_inv_2_1Uc19Uv1.7
SIM_208,Y,Bomen solar farm 2021 19 1.8 Perez model.csv,19,1.8,24_10_08_Match_measured_inv_2_1Uc19Uv1.8
SIM_209,Y,Bomen solar farm 2021 19 1.9 Perez model.csv,19,1.9,24_10_08_Match_measured_inv_2_1Uc19Uv1.9
SIM_210,Y,Bomen solar farm 2021 19 2.0 Perez model.csv,19,2,24_10_08_Match_measured_inv_2_1Uc19Uv2
SIM_211,Y,Bomen solar farm 2021 20 0.0 Perez model.csv,20,0,24_10_08_Match_measured_inv_2_1Uc20Uv0
SIM_212,Y,Bomen solar farm 2021 20 0.1 Perez model.csv,20,0.1,24_10_08_Match_measured_inv_2_1Uc20Uv0.1
SIM_213,Y,Bomen solar farm 2021 20 0.2 Perez model.csv,20,0.2,24_10_08_Match_measured_inv_2_1Uc20Uv0.2
SIM_214,Y,Bomen solar farm 2021 20 0.3 Perez model.csv,20,0.3,24_10_08_Match_measured_inv_2_1Uc20Uv0.3
SIM_215,Y,Bomen solar farm 2021 20 0.4 Perez model.csv,20,0.4,24_10_08_Match_measured_inv_2_1Uc20Uv0.4
SIM_216,Y,Bomen solar farm 2021 20 0.5 Perez model.csv,20,0.5,24_10_08_Match_measured_inv_2_1Uc20Uv0.5
SIM_217,Y,Bomen solar farm 2021 20 0.6 Perez model.csv,20,0.6,24_10_08_Match_measured_inv_2_1Uc20Uv0.6
SIM_218,Y,Bomen solar farm 2021 20 0.7 Perez model.csv,20,0.7,24_10_08_Match_measured_inv_2_1Uc20Uv0.7
SIM_219,Y,Bomen solar farm 2021 20 0.8 Perez model.csv,20,0.8,24_10_08_Match_measured_inv_2_1Uc20Uv0.8
SIM_220,Y,Bomen solar farm 2021 20 0.9 Perez model.csv,20,0.9,24_10_08_Match_measured_inv_2_1Uc20Uv0.9
SIM_221,Y,Bomen solar farm 2021 20 1.0 Perez model.csv,20,1,24_10_08_Match_measured_inv_2_1Uc20Uv1
SIM_222,Y,Bomen solar farm 2021 20 1.1 Perez model.csv,20,1.1,24_10_08_Match_measured_inv_2_1Uc20Uv1.1
SIM_223,Y,Bomen solar farm 2021 20 1.2 Perez model.csv,20,1.2,24_10_08_Match_measured_inv_2_1Uc20Uv1.2
SIM_224,Y,Bomen solar farm 2021 20 1.3 Perez model.csv,20,1.3,24_10_08_Match_measured_inv_2_1Uc20Uv1.3
SIM_225,Y,Bomen solar farm 2021 20 1.4 Perez model.csv,20,1.4,24_10_08_Match_measured_inv_2_1Uc20Uv1.4
SIM_226,Y,Bomen solar farm 2021 20 1.5 Perez model.csv,20,1.5,24_10_08_Match_measured_inv_2_1Uc20Uv1.5
SIM_227,Y,Bomen solar farm 2021 20 1.6 Perez model.csv,20,1.6,24_10_08_Match_measured_inv_2_1Uc20Uv1.6
SIM_228,Y,Bomen solar farm 2021 20 1.7 Perez model.csv,20,1.7,24_10_08_Match_measured_inv_2_1Uc20Uv1.7
SIM_229,Y,Bomen solar farm 2021 20 1.8 Perez model.csv,20,1.8,24_10_08_Match_measured_inv_2_1Uc20Uv1.8
SIM_230,Y,Bomen solar farm 2021 20 1.9 Perez model.csv,20,1.9,24_10_08_Match_measured_inv_2_1Uc20Uv1.9
SIM_231,Y,Bomen solar farm 2021 20 2.0 Perez model.csv,20,2,24_10_08_Match_measured_inv_2_1Uc20Uv2
SIM_232,Y,Bomen solar farm 2021 21 0.0 Perez model.csv,21,0,24_10_08_Match_measured_inv_2_1Uc21Uv0
SIM_233,Y,Bomen solar farm 2021 21 0.1 Perez model.csv,21,0.1,24_10_08_Match_measured_inv_2_1Uc21Uv0.1
SIM_234,Y,Bomen solar farm 2021 21 0.2 Perez model.csv,21,0.2,24_10_08_Match_measured_inv_2_1Uc21Uv0.2
SIM_235,Y,Bomen solar farm 2021 21 0.3 Perez model.csv,21,0.3,24_10_08_Match_measured_inv_2_1Uc21Uv0.3
SIM_236,Y,Bomen solar farm 2021 21 0.4 Perez model.csv,21,0.4,24_10_08_Match_measured_inv_2_1Uc21Uv0.4
SIM_237,Y,Bomen solar farm 2021 21 0.5 Perez model.csv,21,0.5,24_10_08_Match_measured_inv_2_1Uc21Uv0.5
SIM_238,Y,Bomen solar farm 2021 21 0.6 Perez model.csv,21,0.6,24_10_08_Match_measured_inv_2_1Uc21Uv0.6
SIM_239,Y,Bomen solar farm 2021 21 0.7 Perez model.csv,21,0.7,24_10_08_Match_measured_inv_2_1Uc21Uv0.7
SIM_240,Y,Bomen solar farm 2021 21 0.8 Perez model.csv,21,0.8,24_10_08_Match_measured_inv_2_1Uc21Uv0.8
SIM_241,Y,Bomen solar farm 2021 21 0.9 Perez model.csv,21,0.9,24_10_08_Match_measured_inv_2_1Uc21Uv0.9
SIM_242,Y,Bomen solar farm 2021 21 1.0 Perez model.csv,21,1,24_10_08_Match_measured_inv_2_1Uc21Uv1
SIM_243,Y,Bomen solar farm 2021 21 1.1 Perez model.csv,21,1.1,24_10_08_Match_measured_inv_2_1Uc21Uv1.1
SIM_244,Y,Bomen solar farm 2021 21 1.2 Perez model.csv,21,1.2,24_10_08_Match_measured_inv_2_1Uc21Uv1.2
SIM_245,Y,Bomen solar farm 2021 21 1.3 Perez model.csv,21,1.3,24_10_08_Match_measured_inv_2_1Uc21Uv1.3
SIM_246,Y,Bomen solar farm 2021 21 1.4 Perez model.csv,21,1.4,24_10_08_Match_measured_inv_2_1Uc21Uv1.4
SIM_247,Y,Bomen solar farm 2021 21 1.5 Perez model.csv,21,1.5,24_10_08_Match_measured_inv_2_1Uc21Uv1.5
SIM_248,Y,Bomen solar farm 2021 21 1.6 Perez model.csv,21,1.6,24_10_08_Match_measured_inv_2_1Uc21Uv1.6
SIM_249,Y,Bomen solar farm 2021 21 1.7 Perez model.csv,21,1.7,24_10_08_Match_measured_inv_2_1Uc21Uv1.7
SIM_250,Y,Bomen solar farm 2021 21 1.8 Perez model.csv,21,1.8,24_10_08_Match_measured_inv_2_1Uc21Uv1.8
SIM_251,Y,Bomen solar farm 2021 21 1.9 Perez model.csv,21,1.9,24_10_08_Match_measured_inv_2_1Uc21Uv1.9
SIM_252,Y,Bomen solar farm 2021 21 2.0 Perez model.csv,21,2,24_10_08_Match_measured_inv_2_1Uc21Uv2
SIM_253,Y,Bomen solar farm 2021 22 0.0 Perez model.csv,22,0,24_10_08_Match_measured_inv_2_1Uc22Uv0
SIM_254,Y,Bomen solar farm 2021 22 0.1 Perez model.csv,22,0.1,24_10_08_Match_measured_inv_2_1Uc22Uv0.1
SIM_255,Y,Bomen solar farm 2021 22 0.2 Perez model.csv,22,0.2,24_10_08_Match_measured_inv_2_1Uc22Uv0.2
SIM_256,Y,Bomen solar farm 2021 22 0.3 Perez model.csv,22,0.3,24_10_08_Match_measured_inv_2_1Uc22Uv0.3
SIM_257,Y,Bomen solar farm 2021 22 0.4 Perez model.csv,22,0.4,24_10_08_Match_measured_inv_2_1Uc22Uv0.4
SIM_258,Y,Bomen solar farm 2021 22 0.5 Perez model.csv,22,0.5,24_10_08_Match_measured_inv_2_1Uc22Uv0.5
SIM_259,Y,Bomen solar farm 2021 22 0.6 Perez model.csv,22,0.6,24_10_08_Match_measured_inv_2_1Uc22Uv0.6
SIM_260,Y,Bomen solar farm 2021 22 0.7 Perez model.csv,22,0.7,24_10_08_Match_measured_inv_2_1Uc22Uv0.7
SIM_261,Y,Bomen solar farm 2021 22 0.8 Perez model.csv,22,0.8,24_10_08_Match_measured_inv_2_1Uc22Uv0.8
SIM_262,Y,Bomen solar farm 2021 22 0.9 Perez model.csv,22,0.9,24_10_08_Match_measured_inv_2_1Uc22Uv0.9
SIM_263,Y,Bomen solar farm 2021 22 1.0 Perez model.csv,22,1,24_10_08_Match_measured_inv_2_1Uc22Uv1
SIM_264,Y,Bomen solar farm 2021 22 1.1 Perez model.csv,22,1.1,24_10_08_Match_measured_inv_2_1Uc22Uv1.1
SIM_265,Y,Bomen solar farm 2021 22 1.2 Perez model.csv,22,1.2,24_10_08_Match_measured_inv_2_1Uc22Uv1.2
SIM_266,Y,Bomen solar farm 2021 22 1.3 Perez model.csv,22,1.3,24_10_08_Match_measured_inv_2_1Uc22Uv1.3
SIM_267,Y,Bomen solar farm 2021 22 1.4 Perez model.csv,22,1.4,24_10_08_Match_measured_inv_2_1Uc22Uv1.4
SIM_268,Y,Bomen solar farm 2021 22 1.5 Perez model.csv,22,1.5,24_10_08_Match_measured_inv_2_1Uc22Uv1.5
SIM_269,Y,Bomen solar farm 2021 22 1.6 Perez model.csv,22,1.6,24_10_08_Match_measured_inv_2_1Uc22Uv1.6
SIM_270,Y,Bomen solar farm 2021 22 1.7 Perez model.csv,22,1.7,24_10_08_Match_measured_inv_2_1Uc22Uv1.7
SIM_271,Y,Bomen solar farm 2021 22 1.8 Perez model.csv,22,1.8,24_10_08_Match_measured_inv_2_1Uc22Uv1.8
SIM_272,Y,Bomen solar farm 2021 22 1.9 Perez model.csv,22,1.9,24_10_08_Match_measured_inv_2_1Uc22Uv1.9
SIM_273,Y,Bomen solar farm 2021 22 2.0 Perez model.csv,22,2,24_10_08_Match_measured_inv_2_1Uc22Uv2
SIM_274,Y,Bomen solar farm 2021 23 0.0 Perez model.csv,23,0,24_10_08_Match_measured_inv_2_1Uc23Uv0
SIM_275,Y,Bomen solar farm 2021 23 0.1 Perez model.csv,23,0.1,24_10_08_Match_measured_inv_2_1Uc23Uv0.1
SIM_276,Y,Bomen solar farm 2021 23 0.2 Perez model.csv,23,0.2,24_10_08_Match_measured_inv_2_1Uc23Uv0.2
SIM_277,Y,Bomen solar farm 2021 23 0.3 Perez model.csv,23,0.3,24_10_08_Match_measured_inv_2_1Uc23Uv0.3
SIM_278,Y,Bomen solar farm 2021 23 0.4 Perez model.csv,23,0.4,24_10_08_Match_measured_inv_2_1Uc23Uv0.4
SIM_279,Y,Bomen solar farm 2021 23 0.5 Perez model.csv,23,0.5,24_10_08_Match_measured_inv_2_1Uc23Uv0.5
SIM_280,Y,Bomen solar farm 2021 23 0.6 Perez model.csv,23,0.6,24_10_08_Match_measured_inv_2_1Uc23Uv0.6
SIM_281,Y,Bomen solar farm 2021 23 0.7 Perez model.csv,23,0.7,24_10_08_Match_measured_inv_2_1Uc23Uv0.7
SIM_282,Y,Bomen solar farm 2021 23 0.8 Perez model.csv,23,0.8,24_10_08_Match_measured_inv_2_1Uc23Uv0.8
SIM_283,Y,Bomen solar farm 2021 23 0.9 Perez model.csv,23,0.9,24_10_08_Match_measured_inv_2_1Uc23Uv0.9
SIM_284,Y,Bomen solar farm 2021 23 1.0 Perez model.csv,23,1,24_10_08_Match_measured_inv_2_1Uc23Uv1
SIM_285,Y,Bomen solar farm 2021 23 1.1 Perez model.csv,23,1.1,24_10_08_Match_measured_inv_2_1Uc23Uv1.1
SIM_286,Y,Bomen solar farm 2021 23 1.2 Perez model.csv,23,1.2,24_10_08_Match_measured_inv_2_1Uc23Uv1.2
SIM_287,Y,Bomen solar farm 2021 23 1.3 Perez model.csv,23,1.3,24_10_08_Match_measured_inv_2_1Uc23Uv1.3
SIM_288,Y,Bomen solar farm 2021 23 1.4 Perez model.csv,23,1.4,24_10_08_Match_measured_inv_2_1Uc23Uv1.4
SIM_289,Y,Bomen solar farm 2021 23 1.5 Perez model.csv,23,1.5,24_10_08_Match_measured_inv_2_1Uc23Uv1.5
SIM_290,Y,Bomen solar farm 2021 23 1.6 Perez model.csv,23,1.6,24_10_08_Match_measured_inv_2_1Uc23Uv1.6
SIM_291,Y,Bomen solar farm 2021 23 1.7 Perez model.csv,23,1.7,24_10_08_Match_measured_inv_2_1Uc23Uv1.7
SIM_292,Y,Bomen solar farm 2021 23 1.8 Perez model.csv,23,1.8,24_10_08_Match_measured_inv_2_1Uc23Uv1.8
SIM_293,Y,Bomen solar farm 2021 23 1.9 Perez model.csv,23,1.9,24_10_08_Match_measured_inv_2_1Uc23Uv1.9
SIM_294,Y,Bomen solar farm 2021 23 2.0 Perez model.csv,23,2,24_10_08_Match_measured_inv_2_1Uc23Uv2
SIM_295,Y,Bomen solar farm 2021 24 0.0 Perez model.csv,24,0,24_10_08_Match_measured_inv_2_1Uc24Uv0
SIM_296,Y,Bomen solar farm 2021 24 0.1 Perez model.csv,24,0.1,24_10_08_Match_measured_inv_2_1Uc24Uv0.1
SIM_297,Y,Bomen solar farm 2021 24 0.2 Perez model.csv,24,0.2,24_10_08_Match_measured_inv_2_1Uc24Uv0.2
SIM_298,Y,Bomen solar farm 2021 24 0.3 Perez model.csv,24,0.3,24_10_08_Match_measured_inv_2_1Uc24Uv0.3
SIM_299,Y,Bomen solar farm 2021 24 0.4 Perez model.csv,24,0.4,24_10_08_Match_measured_inv_2_1Uc24Uv0.4
SIM_300,Y,Bomen solar farm 2021 24 0.5 Perez model.csv,24,0.5,24_10_08_Match_measured_inv_2_1Uc24Uv0.5
SIM_301,Y,Bomen solar farm 2021 24 0.6 Perez model.csv,24,0.6,24_10_08_Match_measured_inv_2_1Uc24Uv0.6
SIM_302,Y,Bomen solar farm 2021 24 0.7 Perez model.csv,24,0.7,24_10_08_Match_measured_inv_2_1Uc24Uv0.7
SIM_303,Y,Bomen solar farm 2021 24 0.8 Perez model.csv,24,0.8,24_10_08_Match_measured_inv_2_1Uc24Uv0.8
SIM_304,Y,Bomen solar farm 2021 24 0.9 Perez model.csv,24,0.9,24_10_08_Match_measured_inv_2_1Uc24Uv0.9
SIM_305,Y,Bomen solar farm 2021 24 1.0 Perez model.csv,24,1,24_10_08_Match_measured_inv_2_1Uc24Uv1
SIM_306,Y,Bomen solar farm 2021 24 1.1 Perez model.csv,24,1.1,24_10_08_Match_measured_inv_2_1Uc24Uv1.1
SIM_307,Y,Bomen solar farm 2021 24 1.2 Perez model.csv,24,1.2,24_10_08_Match_measured_inv_2_1Uc24Uv1.2
SIM_308,Y,Bomen solar farm 2021 24 1.3 Perez model.csv,24,1.3,24_10_08_Match_measured_inv_2_1Uc24Uv1.3
SIM_309,Y,Bomen solar farm 2021 24 1.4 Perez model.csv,24,1.4,24_10_08_Match_measured_inv_2_1Uc24Uv1.4
SIM_310,Y,Bomen solar farm 2021 24 1.5 Perez model.csv,24,1.5,24_10_08_Match_measured_inv_2_1Uc24Uv1.5
SIM_311,Y,Bomen solar farm 2021 24 1.6 Perez model.csv,24,1.6,24_10_08_Match_measured_inv_2_1Uc24Uv1.6
SIM_312,Y,Bomen solar farm 2021 24 1.7 Perez model.csv,24,1.7,24_10_08_Match_measured_inv_2_1Uc24Uv1.7
SIM_313,Y,Bomen solar farm 2021 24 1.8 Perez model.csv,24,1.8,24_10_08_Match_measured_inv_2_1Uc24Uv1.8
SIM_314,Y,Bomen solar farm 2021 24 1.9 Perez model.csv,24,1.9,24_10_08_Match_measured_inv_2_1Uc24Uv1.9
SIM_315,Y,Bomen solar farm 2021 24 2.0 Perez model.csv,24,2,24_10_08_Match_measured_inv_2_1Uc24Uv2
SIM_316,Y,Bomen solar farm 2021 25 0.0 Perez model.csv,25,0,24_10_08_Match_measured_inv_2_1Uc25Uv0
SIM_317,Y,Bomen solar farm 2021 25 0.1 Perez model.csv,25,0.1,24_10_08_Match_measured_inv_2_1Uc25Uv0.1
SIM_318,Y,Bomen solar farm 2021 25 0.2 Perez model.csv,25,0.2,24_10_08_Match_measured_inv_2_1Uc25Uv0.2
SIM_319,Y,Bomen solar farm 2021 25 0.3 Perez model.csv,25,0.3,24_10_08_Match_measured_inv_2_1Uc25Uv0.3
SIM_320,Y,Bomen solar farm 2021 25 0.4 Perez model.csv,25,0.4,24_10_08_Match_measured_inv_2_1Uc25Uv0.4
SIM_321,Y,Bomen solar farm 2021 25 0.5 Perez model.csv,25,0.5,24_10_08_Match_measured_inv_2_1Uc25Uv0.5
SIM_322,Y,Bomen solar farm 2021 25 0.6 Perez model.csv,25,0.6,24_10_08_Match_measured_inv_2_1Uc25Uv0.6
SIM_323,Y,Bomen solar farm 2021 25 0.7 Perez model.csv,25,0.7,24_10_08_Match_measured_inv_2_1Uc25Uv0.7
SIM_324,Y,Bomen solar farm 2021 25 0.8 Perez model.csv,25,0.8,24_10_08_Match_measured_inv_2_1Uc25Uv0.8
SIM_325,Y,Bomen solar farm 2021 25 0.9 Perez model.csv,25,0.9,24_10_08_Match_measured_inv_2_1Uc25Uv0.9
SIM_326,Y,Bomen solar farm 2021 25 1.0 Perez model.csv,25,1,24_10_08_Match_measured_inv_2_1Uc25Uv1
SIM_327,Y,Bomen solar farm 2021 25 1.1 Perez model.csv,25,1.1,24_10_08_Match_measured_inv_2_1Uc25Uv1.1
SIM_328,Y,Bomen solar farm 2021 25 1.2 Perez model.csv,25,1.2,24_10_08_Match_measured_inv_2_1Uc25Uv1.2
SIM_329,Y,Bomen solar farm 2021 25 1.3 Perez model.csv,25,1.3,24_10_08_Match_measured_inv_2_1Uc25Uv1.3
SIM_330,Y,Bomen solar farm 2021 25 1.4 Perez model.csv,25,1.4,24_10_08_Match_measured_inv_2_1Uc25Uv1.4
SIM_331,Y,Bomen solar farm 2021 25 1.5 Perez model.csv,25,1.5,24_10_08_Match_measured_inv_2_1Uc25Uv1.5
SIM_332,Y,Bomen solar farm 2021 25 1.6 Perez model.csv,25,1.6,24_10_08_Match_measured_inv_2_1Uc25Uv1.6
SIM_333,Y,Bomen solar farm 2021 25 1.7 Perez model.csv,25,1.7,24_10_08_Match_measured_inv_2_1Uc25Uv1.7
SIM_334,Y,Bomen solar farm 2021 25 1.8 Perez model.csv,25,1.8,24_10_08_Match_measured_inv_2_1Uc25Uv1.8
SIM_335,Y,Bomen solar farm 2021 25 1.9 Perez model.csv,25,1.9,24_10_08_Match_measured_inv_2_1Uc25Uv1.9
SIM_336,Y,Bomen solar farm 2021 25 2.0 Perez model.csv,25,2,24_10_08_Match_measured_inv_2_1Uc25Uv2
SIM_337,Y,Bomen solar farm 2021 26 0.0 Perez model.csv,26,0,24_10_08_Match_measured_inv_2_1Uc26Uv0
SIM_338,Y,Bomen solar farm 2021 26 0.1 Perez model.csv,26,0.1,24_10_08_Match_measured_inv_2_1Uc26Uv0.1
SIM_339,Y,Bomen solar farm 2021 26 0.2 Perez model.csv,26,0.2,24_10_08_Match_measured_inv_2_1Uc26Uv0.2
SIM_340,Y,Bomen solar farm 2021 26 0.3 Perez model.csv,26,0.3,24_10_08_Match_measured_inv_2_1Uc26Uv0.3
SIM_341,Y,Bomen solar farm 2021 26 0.4 Perez model.csv,26,0.4,24_10_08_Match_measured_inv_2_1Uc26Uv0.4
SIM_342,Y,Bomen solar farm 2021 26 0.5 Perez model.csv,26,0.5,24_10_08_Match_measured_inv_2_1Uc26Uv0.5
SIM_343,Y,Bomen solar farm 2021 26 0.6 Perez model.csv,26,0.6,24_10_08_Match_measured_inv_2_1Uc26Uv0.6
SIM_344,Y,Bomen solar farm 2021 26 0.7 Perez model.csv,26,0.7,24_10_08_Match_measured_inv_2_1Uc26Uv0.7
SIM_345,Y,Bomen solar farm 2021 26 0.8 Perez model.csv,26,0.8,24_10_08_Match_measured_inv_2_1Uc26Uv0.8
SIM_346,Y,Bomen solar farm 2021 26 0.9 Perez model.csv,26,0.9,24_10_08_Match_measured_inv_2_1Uc26Uv0.9
SIM_347,Y,Bomen solar farm 2021 26 1.0 Perez model.csv,26,1,24_10_08_Match_measured_inv_2_1Uc26Uv1
SIM_348,Y,Bomen solar farm 2021 26 1.1 Perez model.csv,26,1.1,24_10_08_Match_measured_inv_2_1Uc26Uv1.1
SIM_349,Y,Bomen solar farm 2021 26 1.2 Perez model.csv,26,1.2,24_10_08_Match_measured_inv_2_1Uc26Uv1.2
SIM_350,Y,Bomen solar farm 2021 26 1.3 Perez model.csv,26,1.3,24_10_08_Match_measured_inv_2_1Uc26Uv1.3
SIM_351,Y,Bomen solar farm 2021 26 1.4 Perez model.csv,26,1.4,24_10_08_Match_measured_inv_2_1Uc26Uv1.4
SIM_352,Y,Bomen solar farm 2021 26 1.5 Perez model.csv,26,1.5,24_10_08_Match_measured_inv_2_1Uc26Uv1.5
SIM_353,Y,Bomen solar farm 2021 26 1.6 Perez model.csv,26,1.6,24_10_08_Match_measured_inv_2_1Uc26Uv1.6
SIM_354,Y,Bomen solar farm 2021 26 1.7 Perez model.csv,26,1.7,24_10_08_Match_measured_inv_2_1Uc26Uv1.7
SIM_355,Y,Bomen solar farm 2021 26 1.8 Perez model.csv,26,1.8,24_10_08_Match_measured_inv_2_1Uc26Uv1.8
SIM_356,Y,Bomen solar farm 2021 26 1.9 Perez model.csv,26,1.9,24_10_08_Match_measured_inv_2_1Uc26Uv1.9
SIM_357,Y,Bomen solar farm 2021 26 2.0 Perez model.csv,26,2,24_10_08_Match_measured_inv_2_1Uc26Uv2
SIM_358,Y,Bomen solar farm 2021 27 0.0 Perez model.csv,27,0,24_10_08_Match_measured_inv_2_1Uc27Uv0
SIM_359,Y,Bomen solar farm 2021 27 0.1 Perez model.csv,27,0.1,24_10_08_Match_measured_inv_2_1Uc27Uv0.1
SIM_360,Y,Bomen solar farm 2021 27 0.2 Perez model.csv,27,0.2,24_10_08_Match_measured_inv_2_1Uc27Uv0.2
SIM_361,Y,Bomen solar farm 2021 27 0.3 Perez model.csv,27,0.3,24_10_08_Match_measured_inv_2_1Uc27Uv0.3
SIM_362,Y,Bomen solar farm 2021 27 0.4 Perez model.csv,27,0.4,24_10_08_Match_measured_inv_2_1Uc27Uv0.4
SIM_363,Y,Bomen solar farm 2021 27 0.5 Perez model.csv,27,0.5,24_10_08_Match_measured_inv_2_1Uc27Uv0.5
SIM_364,Y,Bomen solar farm 2021 27 0.6 Perez model.csv,27,0.6,24_10_08_Match_measured_inv_2_1Uc27Uv0.6
SIM_365,Y,Bomen solar farm 2021 27 0.7 Perez model.csv,27,0.7,24_10_08_Match_measured_inv_2_1Uc27Uv0.7
SIM_366,Y,Bomen solar farm 2021 27 0.8 Perez model.csv,27,0.8,24_10_08_Match_measured_inv_2_1Uc27Uv0.8
SIM_367,Y,Bomen solar farm 2021 27 0.9 Perez model.csv,27,0.9,24_10_08_Match_measured_inv_2_1Uc27Uv0.9
SIM_368,Y,Bomen solar farm 2021 27 1.0 Perez model.csv,27,1,24_10_08_Match_measured_inv_2_1Uc27Uv1
SIM_369,Y,Bomen solar farm 2021 27 1.1 Perez model.csv,27,1.1,24_10_08_Match_measured_inv_2_1Uc27Uv1.1
SIM_370,Y,Bomen solar farm 2021 27 1.2 Perez model.csv,27,1.2,24_10_08_Match_measured_inv_2_1Uc27Uv1.2
SIM_371,Y,Bomen solar farm 2021 27 1.3 Perez model.csv,27,1.3,24_10_08_Match_measured_inv_2_1Uc27Uv1.3
SIM_372,Y,Bomen solar farm 2021 27 1.4 Perez model.csv,27,1.4,24_10_08_Match_measured_inv_2_1Uc27Uv1.4
SIM_373,Y,Bomen solar farm 2021 27 1.5 Perez model.csv,27,1.5,24_10_08_Match_measured_inv_2_1Uc27Uv1.5
SIM_374,Y,Bomen solar farm 2021 27 1.6 Perez model.csv,27,1.6,24_10_08_Match_measured_inv_2_1Uc27Uv1.6
SIM_375,Y,Bomen solar farm 2021 27 1.7 Perez model.csv,27,1.7,24_10_08_Match_measured_inv_2_1Uc27Uv1.7
SIM_376,Y,Bomen solar farm 2021 27 1.8 Perez model.csv,27,1.8,24_10_08_Match_measured_inv_2_1Uc27Uv1.8
SIM_377,Y,Bomen solar farm 2021 27 1.9 Perez model.csv,27,1.9,24_10_08_Match_measured_inv_2_1Uc27Uv1.9
SIM_378,Y,Bomen solar farm 2021 27 2.0 Perez model.csv,27,2,24_10_08_Match_measured_inv_2_1Uc27Uv2
SIM_379,Y,Bomen solar farm 2021 28 0.0 Perez model.csv,28,0,24_10_08_Match_measured_inv_2_1Uc28Uv0
SIM_380,Y,Bomen solar farm 2021 28 0.1 Perez model.csv,28,0.1,24_10_08_Match_measured_inv_2_1Uc28Uv0.1
SIM_381,Y,Bomen solar farm 2021 28 0.2 Perez model.csv,28,0.2,24_10_08_Match_measured_inv_2_1Uc28Uv0.2
SIM_382,Y,Bomen solar farm 2021 28 0.3 Perez model.csv,28,0.3,24_10_08_Match_measured_inv_2_1Uc28Uv0.3
