Day of year,Hour,Minute,Period (h),Flag,Message,Solar zenith (degrees),Solar elevation (degrees),Solar azimuth (degrees),GHI (W/m2),DHI (W/m2),DNI (W/m2),Diffuse fraction,Ambient temperature (°C),Wind velocity (m/s),Wind direction,Opaque cloud fraction,Air mass,Precipitable water vapour (cm),Ozone (atm.cm),Aerosol optical density,Relative humidity (%),Far field albedo (%),Surface pressure (mb),Module tilt (degrees),Incident angle (degrees),VF power for Tmod [average] (W/m2),VF power for Tmod front [average] (W/m2),VF power for Tmod rear [average] (W/m2),Module temperature [average] (C),Power - no mismatch @25C [unit-system] (W),Power - no mismatch [unit-system] (W),Power [unit-system] (W),Vmp [average] (V),Imp [average] (A),Imp [minimum] (A),Voc [average] (V),Isc [average] (A),Jfront [average] (A/cm2),Ifront [average] (A),Jrear [average] (A/cm2),Irear [average] (A),Temperature loss (W),Cell-to-cell mismatch loss (W)
290,8,0,1,Day,,59.430782318115234,30.5692195892334,79.20269012451172,565.4683227539062,146.5,823.8019409179688,0.2590772807598114,12.259363174438477,1,=NA(),0.019419346004724503,1.9613696336746216,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),17.955827713012695,1013.25,58.9807014465332,9.282268524169922,1025.824951171875,999.3299560546875,26.490001678466797,66.2668685913086,6399.509765625,5556.14990234375,5558.93115234375,34.833778381347656,9.974032402038574,9.930590629577637,42.97380065917969,10.606073379516602,0.037222251296043396,0,0.0005580625147558749,0,843.35986328125,-2.78125
290,9,0,1,Day,,47.661888122558594,42.338111877441406,67.9917984008789,756.9722290039062,144.6999969482422,909.0842895507812,0.1911562830209732,14.352075576782227,1,=NA(),0.002311765681952238,1.483190655708313,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),19.600854873657227,1013.25,45.498165130615234,16.081296920776367,1071.27001953125,1040.949951171875,30.31999969482422,71.35124969482422,6523.89990234375,5557.60009765625,5557.60595703125,34.17726135253906,10.16319751739502,10.126228332519531,42.36247253417969,10.80204963684082,0.03787556290626526,0,0.0006498750299215317,0,966.2998046875,-0.005859375
290,10,0,1,Day,,36.97516632080078,53.02483367919922,52.65427780151367,849.8697509765625,195.5,819.09228515625,0.23003524541854858,15.585107803344727,1,=NA(),0.13831089437007904,1.2510367631912231,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20.665861129760742,1013.25,30.901683807373047,21.39926528930664,1013.010009765625,974.4649658203125,38.54499816894531,69.38875579833984,6173.85986328125,5297.2998046875,5297.86328125,34.44264221191406,9.613561630249023,9.594578742980957,42.49972915649414,10.227890968322754,0.03558593615889549,0,0.0008463124977424741,0,876.56005859375,-0.5634765625
290,11,0,1,Day,,28.815343856811523,61.18465805053711,29.647907257080078,1002.7977905273438,166.5,954.4842529296875,0.1660354733467102,16.415063858032227,1,=NA(),0.016634110361337662,1.140930414199829,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20.89866828918457,1013.25,15.222671508789062,24.76434898376465,1089.22998046875,1036.530029296875,52.70000076293945,74.82686614990234,6524.490234375,5484.77001953125,5482.05517578125,33.73772430419922,10.155645370483398,10.121036529541016,41.91704177856445,10.797477722167969,0.03743724897503853,0,0.0010918750194832683,0,1039.72021484375,2.71484375
290,12,0,1,Day,,25.831552505493164,64.16844940185547,357.69219970703125,955.3194580078125,204.89999389648438,833.7261962890625,0.21448321640491486,17.48150062561035,1,=NA(),0.14604833722114563,1.110694408416748,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20.583398818969727,1013.25,-1.1167596578598022,25.809057235717773,1007.72998046875,955.4749755859375,52.25499725341797,71.28563690185547,6066.89013671875,5167.89013671875,5167.2841796875,34.20257568359375,9.442424774169922,9.420703887939453,42.220176696777344,10.048022270202637,0.03467462584376335,0,0.0011197499698027968,0,899,0.60595703125
290,13,0,1,Day,,29.659454345703125,60.340545654296875,326.6143798828125,887.2444458007812,203.10000610351562,787.294189453125,0.22891099750995636,18.2927188873291,1,=NA(),0.18741242587566376,1.1503582000732422,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20.994924545288086,1013.25,-17.398544311523438,24.405242919921875,971.739990234375,925.780029296875,45.959999084472656,70.22063446044922,5864.240234375,5014.66015625,5012.0693359375,34.361671447753906,9.116385459899902,9.096476554870605,42.2868766784668,9.690980911254883,0.033599499613046646,0,0.0009885624749585986,0,849.580078125,2.5908203125
290,14,0,1,Day,,38.27691650390625,51.72308349609375,304.8333435058594,845.1683349609375,141.3000030517578,896.6178588867188,0.16718563437461853,18.95757484436035,1,=NA(),0.052864525467157364,1.2730844020843506,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),20.405969619750977,1013.25,-32.93135070800781,20.721860885620117,1029.52001953125,993.2900390625,36.22999954223633,73.8181381225586,6282.02978515625,5300.580078125,5301.4296875,33.85520935058594,9.786954879760742,9.776799201965332,41.96747970581055,10.424983024597168,0.036278750747442245,0,0.0007993124891072512,0,981.44970703125,-0.849609375
290,15,0,1,Day,,49.15870666503906,40.84129333496094,290.209228515625,629.6011352539062,139.5,749.4290771484375,0.22156885266304016,19.4205265045166,1,=NA(),0.17108115553855896,1.5273348093032837,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),19.546302795410156,1013.25,-47.35049057006836,15.149622917175293,918.7449951171875,894.2000122070312,24.545000076293945,68.05937957763672,5678.14990234375,4894.4501953125,4893.8525390625,34.632877349853516,8.831658363342285,8.817548751831055,42.49906921386719,9.375280380249023,0.03291749954223633,0,0.0005651250248774886,0,783.69970703125,0.59765625
290,16,0,1,Day,,61.000823974609375,28.999176025390625,279.34417724609375,405.1413879394531,95.59700012207031,638.5029907226562,0.23595960438251495,19.536035537719727,1,=NA(),0.22816424071788788,2.056870937347412,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),17.13266944885254,1013.25,-60,8.191754341125488,782.9100341796875,766.35498046875,16.55500030517578,60.43749237060547,4950.02001953125,4385.91015625,4388.05517578125,35.611061096191406,7.701350688934326,7.676092147827148,43.20608139038086,8.174208641052246,0.028795313090085983,0,0.00038212499930523336,0,564.10986328125,-2.14501953125
290,17,0,1,Day,,73.18801879882812,16.811981201171875,270.2369079589844,191.41250610351562,36.5,535.5994873046875,0.1906876415014267,19.082361221313477,1,=NA(),0.20924091339111328,3.4226369857788086,1.4163999557495117,0.34380000829696655,0.08399999886751175,=NA(),13.06167221069336,1013.25,-27.871967315673828,45.31636047363281,437.2650146484375,435.16998291015625,2.0950000286102295,41.78374481201172,2721.31005859375,2569.85009765625,2569.3955078125,37.845096588134766,4.243277072906494,4.2303996086120605,44.49934387207031,4.481655120849609,0.016091061756014824,0,0.00006399999983841553,0,151.4599609375,0.45458984375
